%time,field.header.seq,field.header.stamp,field.header.frame_id,field.UTM_x,field.UTM_y,field.UTM_z,field.GPSSpd,field.GPSAcc
1548567091280582707,226,1548567091280404573,base_link,683202.209983,3110765.35392,58.5296936035,0.120930239558,0.00510204071179
1548567091331201122,227,1548567091330688543,base_link,683202.208682,3110765.35505,58.5293388367,0.123226262629,0.00714285718277
1548567091380578191,228,1548567091380399769,base_link,683202.20736,3110765.35618,58.5289611816,0.126431420445,0.00510204071179
1548567091430600195,229,1548567091430412535,base_link,683202.206023,3110765.35731,58.5285453796,0.123899817467,0.00367913395166
1548567091480583711,230,1548567091480403650,base_link,683202.204667,3110765.35843,58.5281333923,0.129966720939,0.00420725019649
1548567091530808036,231,1548567091530556863,base_link,683202.203271,3110765.35954,58.5276832581,0.126445710659,0.00420725019649
1548567091580633926,232,1548567091580457077,base_link,683202.201871,3110765.36065,58.5272293091,0.128554880619,0.00367913395166
1548567091630808770,233,1548567091630625413,base_link,683202.200431,3110765.36176,58.5268058777,0.132568016648,0.00367913395166
1548567091680912174,234,1548567091680738758,base_link,683202.198937,3110765.36292,58.5263595581,0.140525147319,0.0094076981768
1548567091730595827,235,1548567091730416205,base_link,683202.197414,3110765.36411,58.5258407593,0.137488037348,0.00420725019649
1548567091780583528,236,1548567091780415197,base_link,683202.19588,3110765.36523,58.5252914429,0.135255083442,0.00228170189075
1548567091830838330,237,1548567091830468254,base_link,683202.194336,3110765.3663,58.5247344971,0.13505640626,0.00841450039297
1548567091886517330,238,1548567091880401600,base_link,683202.192764,3110765.36735,58.5241584778,0.137288555503,0.00620690034702
1548567091930758187,239,1548567091930554590,base_link,683202.223391,3110765.34207,58.5310401917,0.070160344243,0.0045634037815
1548567091980563183,240,1548567091980375409,base_link,683202.222535,3110765.34254,58.5306053162,0.0715566501021,0.0114085096866
1548567092030779174,241,1548567092030375094,base_link,683202.22166,3110765.34305,58.5301628113,0.0738741606474,0.00306122447364
1548567092080619101,242,1548567092080450323,base_link,683202.220744,3110765.34359,58.5297355652,0.079909093678,0.00102040811908
1548567092130659789,243,1548567092130411010,base_link,683202.219757,3110765.34415,58.529384613,0.0809615850449,0.00204081623815
